g1_taker.taker_z_4h_min,g2_oi_bipolar.oi_z_1h_min,g2_oi_bipolar.oi_z_24h_block,filters.rsi_min,filters.rsi_max,n_trades,sharpe,win_rate,avg_return,total_return,max_dd,profit_factor
0.0,0.0,3.0,60,85,43,-1.4897439252086166,30.23255813953488,-0.1486278920591271,-6.299307850412983,-6.859850250903625,0.5822387734621476
-0.5,0.3,3.0,60,85,45,-1.5187019936473847,31.11111111111111,-0.15618486095909545,-6.906920222668189,-7.780446634089497,0.5833353157470027
-0.5,0.3,3.0,60,80,45,-1.5467427703786392,31.11111111111111,-0.15982147447859185,-7.0604835710136316,-7.932569041379745,0.57773038673826
0.0,0.0,2.5,60,80,39,-1.552169837184025,28.205128205128204,-0.15919546431591408,-6.1241148328813555,-5.8162374485247605,0.5702936836983193
0.0,0.0,2.5,60,85,39,-1.6599284475818186,28.205128205128204,-0.16756696377868624,-6.427482495050462,-6.120600041843235,0.5425154370377482
-0.5,0.0,3.0,60,80,52,-1.6753730837053002,28.846153846153843,-0.16703760477049107,-8.448735290191411,-8.99641924546533,0.5582253945240455
-0.5,0.3,2.5,60,85,41,-1.678914741979379,29.268292682926827,-0.17493734078013642,-7.0342637048233065,-6.239790703166609,0.5476152190626882
-0.5,0.3,2.5,60,80,41,-1.708802831516652,29.268292682926827,-0.1789287458625105,-7.187616991458922,-6.394454526896888,0.5420206440741903
-0.5,0.0,3.0,60,85,52,-1.7604574826295147,28.846153846153843,-0.17331622936757018,-8.744590749707982,-9.290504819128646,0.5377726984264426
-0.5,0.0,2.5,60,80,48,-1.8286053012572347,27.083333333333332,-0.18395974326857986,-8.573969699362749,-7.792654823397297,0.5264916453306612
-0.5,0.0,2.5,60,85,48,-1.9223505502774891,27.083333333333332,-0.19076158658208225,-8.869420453561528,-8.090630461030376,0.5046367753939042
